name,address,date,score,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22
City Silo,5101 Sanderlin 104B Memphis. TN 38117,9/8/2020,96,,,,,,,,,,,,,,,,,,,,,,
El Mezcal,1492 Union Ave. Memphis. TN 38104,9/8/2020,98,,,,,,,,,,,,,,,,,,,,,,
Wendy's,1593 Union Ave. Memphis. TN 38104,9/8/2020,97,,,,,,,,,,,,,,,,,,,,,,
Subway,6744 Winchester Memphis. TN 38115,9/8/2020,100,,,,,,,,,,,,,,,,,,,,,,
Wasabi Sushi & Asian Fusion,5101 Sanderlin Suite 105 Memphis. TN 38117,9/8/2020,96,,,,,,,,,,,,,,,,,,,,,,
The Blue Monkey,513 S. Front St. Memphis. TN 38103,9/8/2020,97,,,,,,,,,,,,,,,,,,,,,,
Mr. P'S Buffalo Wings,4202 Hacks Cross Rd. Memphis. TN 38125,9/7/2020,97,,,,,,,,,,,,,,,,,,,,,,
Los Pilares Mexican Restaurant,6249 Stage Rd. Bartlett. TN 38134,9/7/2020,88,,,,,,,,,,,,,,,,,,,,,,
Cafe Eclectic,111 Harbor Town Sq. Memphis. TN 38103,9/7/2020,95,,,,,,,,,,,,,,,,,,,,,,
Andy B's,6276 Stage Rd. Bartlett. TN 38134,9/3/2020,96,,,,,,,,,,,,,,,,,,,,,,
KFC - Taco Bell,3745 E. Shelby Dr. Memphis. TN 38116,9/3/2020,95,,,,,,,,,,,,,,,,,,,,,,
Red Koi,2946 Kate Hyde Blvd. Memphis. TN 38133,9/3/2020,99,,,,,,,,,,,,,,,,,,,,,,
Sonic Drive-In,3285 E. Shelby Dr. Memphis. TN 38118,9/3/2020,94,,,,,,,,,,,,,,,,,,,,,,
King Jerry Lawler's Hall of Fame Bar & Grill,159 Beale St. Memphis. TN 38103,9/2/2020,90,,,,,,,,,,,,,,,,,,,,,,
Sonic Drive-In,3790 S. Houston Levee Rd. Collierville. TN 38017,9/2/2020,98,,,,,,,,,,,,,,,,,,,,,,
Wet Willie's,209 Beale St. Memphis. TN 38103,9/2/2020,99,,,,,,,,,,,,,,,,,,,,,,
